image_path,caption
images/satellite_000.jpg,A industrial area with scattered vegetation and grey tones
images/satellite_001.jpg,A urban area with developed infrastructure and mixed tones
images/satellite_002.jpg,A coastal area with dense roads and green tones
images/satellite_003.jpg,A coastal area with dense buildings and blue tones
images/satellite_004.jpg,A industrial area with developed vegetation and grey tones
images/satellite_005.jpg,A urban area with sparse water bodies and mixed tones
images/satellite_006.jpg,A rural area with dense vegetation and blue tones
images/satellite_007.jpg,A rural area with sparse buildings and grey tones
images/satellite_008.jpg,A urban area with dense infrastructure and green tones
images/satellite_009.jpg,A rural area with developed water bodies and brown tones
images/satellite_010.jpg,A urban area with developed water bodies and mixed tones
images/satellite_011.jpg,A residential area with dense water bodies and mixed tones
images/satellite_012.jpg,A residential area with sparse infrastructure and mixed tones
images/satellite_013.jpg,A urban area with developed infrastructure and brown tones
images/satellite_014.jpg,A rural area with dense infrastructure and green tones
images/satellite_015.jpg,A residential area with dense vegetation and mixed tones
images/satellite_016.jpg,A coastal area with scattered vegetation and grey tones
images/satellite_017.jpg,A residential area with sparse vegetation and mixed tones
images/satellite_018.jpg,A rural area with scattered roads and green tones
images/satellite_019.jpg,A industrial area with dense roads and blue tones
images/satellite_020.jpg,A rural area with organized roads and green tones
images/satellite_021.jpg,A rural area with organized buildings and mixed tones
images/satellite_022.jpg,A residential area with organized roads and green tones
images/satellite_023.jpg,A rural area with sparse buildings and mixed tones
images/satellite_024.jpg,A industrial area with developed water bodies and green tones
images/satellite_025.jpg,A rural area with scattered water bodies and grey tones
images/satellite_026.jpg,A coastal area with sparse infrastructure and mixed tones
images/satellite_027.jpg,A residential area with scattered roads and grey tones
images/satellite_028.jpg,A urban area with sparse water bodies and grey tones
images/satellite_029.jpg,A coastal area with sparse water bodies and blue tones
images/satellite_030.jpg,A industrial area with dense roads and mixed tones
images/satellite_031.jpg,A industrial area with scattered vegetation and green tones
images/satellite_032.jpg,A urban area with developed infrastructure and mixed tones
images/satellite_033.jpg,A urban area with scattered water bodies and brown tones
images/satellite_034.jpg,A residential area with organized vegetation and mixed tones
images/satellite_035.jpg,A industrial area with organized buildings and brown tones
images/satellite_036.jpg,A rural area with scattered water bodies and grey tones
images/satellite_037.jpg,A residential area with sparse infrastructure and green tones
images/satellite_038.jpg,A residential area with sparse water bodies and mixed tones
images/satellite_039.jpg,A industrial area with dense vegetation and green tones
images/satellite_040.jpg,A rural area with scattered vegetation and blue tones
images/satellite_041.jpg,A coastal area with developed infrastructure and green tones
images/satellite_042.jpg,A coastal area with dense roads and mixed tones
